T_K,Z_iso,Z_soc,Z_cfs,U_iso_eV,F_iso_eV,S_iso_eV_perK,U_soc_eV,F_soc_eV,S_soc_eV_perK,U_cfs_eV,F_cfs_eV,S_cfs_eV_perK,U_iso_J,F_iso_J,S_iso_J_perK,U_soc_J,F_soc_J,S_soc_J_perK,U_cfs_J,F_cfs_J,S_cfs_J_perK
598.9949748743718,14.0,6.035257163161774,5.166001612180667,0.0,-0.1362212598823332,0.000227416365072016,0.001635722458614367,-0.09278837917754541,0.00015763755222815266,0.023235226395789597,-0.08476087011852272,0.00018029549669755163,0.0,-2.182505196375158e-20,3.6436118630759776e-23,2.6207163029009708e-22,-1.486633730249954e-20,2.525632028209008e-23,3.722693681703413e-21,-1.358018855814059e-20,2.8886523202424135e-23
607.537688442211,14.0,6.038051638102697,5.199202386304204,0.0,-0.13816401274978257,0.000227416365072016,0.0017645524264021007,-0.09413593876804244,0.00015785109799581858,0.023799937572472566,-0.08630509636391372,0.0001812316108630345,0.0,-2.213631528873797e-20,3.6436118630759776e-23,2.82712466704945e-22,-1.5082240151381234e-20,2.5290534086014473e-23,3.8131703869274225e-21,-1.382760087893809e-20,2.9036505226693444e-23
616.0804020100502,14.0,6.040980823810498,5.232466281828876,0.0,-0.14010676561723195,0.000227416365072016,0.0018994648388407863,-0.09548535243102915,0.0001580716038882881,0.024359854919580773,-0.08785723006481641,0.0001821468182046904,0.0,-2.244757861372436e-20,3.6436118630759776e-23,3.0432781818952832e-22,-1.5298440055424998e-20,2.532586302487187e-23,3.902879035978226e-21,-1.4076280113781116e-20,2.918313760850008e-23
624.6231155778894,14.0,6.044046057213975,5.265780637505197,0.0,-0.14204951848468134,0.000227416365072016,0.0020405033156874917,-0.09683667911320738,0.0001582989485386169,0.02491480136440085,-0.08941709384563,0.00018304140906513387,0.0,-2.275884193871075e-20,3.6436118630759776e-23,3.2692467339940246e-22,-1.551494645893367e-20,2.536228765353404e-23,3.991791258679436e-21,-1.4326197843965358e-20,2.932646686585933e-23
633.1658291457286,14.0,6.0472485057514636,5.299133349055577,0.0,-0.14399227135213072,0.000227416365072016,0.0021877026548234894,-0.09818997668511247,0.00015853300149720046,0.025464619336857952,-0.09098451289516564,0.00018391569296962457,0.0,-2.307010526369714e-20,3.6436118630759776e-23,3.5050860756979617e-22,-1.5731768633789195e-20,2.539978707167016e-23,4.079881809521838e-21,-1.4577326061650606e-20,2.9466542590185057e-23
641.7085427135678,14.0,6.05058917108404,5.3325128526410515,0.0,-0.1459350242195801,0.000227416365072016,0.002341089025053309,-0.09954530186690715,0.00015877362402114435,0.026009169574469283,-0.09255931511792785,0.00018476999572268623,0.0,-2.338136858868353e-20,3.6436118630759776e-23,3.750838134054252e-22,-1.594891566756352e-20,2.5438339050217857e-23,4.1671283761958405e-21,-1.4829637194098695e-20,2.960341698111678e-23
650.251256281407,14.0,6.054068893173239,5.3659081081944375,0.0,-0.14787777708702948,0.000227416365072016,0.0025006801798338426,-0.10090271016083675,0.0001590206698438443,0.026548329969460542,-0.09414133126170383,0.00018560465676199157,0.0,-2.369263191366992e-20,3.6436118630759776e-23,4.0065313532367005e-22,-1.6166396452696703e-20,2.5477920154683573e-23,4.253511394879161e-21,-1.5083104124115562e-20,2.97371444225653e-23
658.7939698492462,14.0,6.057688354669448,5.399308582711592,0.0,-0.14982052995447886,0.000227416365072016,0.0026664856892141837,-0.10226225579016451,0.00015927398592216905,0.027081994460317116,-0.09573039502358734,0.00018642002675283743,0.0,-2.400389523865631e-20,3.6436118630759776e-23,4.272181066154351e-22,-1.6384219676713277e-20,2.5518505864854417e-23,4.339013872643752e-21,-1.533770020703815e-20,2.98677810973051e-23
667.3366834170854,14.0,6.061448085560968,5.432704233580142,0.0,-0.15176328282192825,0.00022741636507201597,0.002838507187425421,-0.10362399164438647,0.00015953341315911573,0.02761007196930993,-0.0973263431364223,0.00018721646540693308,0.0,-2.43151585636427e-20,3.643611863075977e-23,4.547789891134069e-22,-1.6602393813444723e-20,2.5560070690580333e-23,4.423621217228673e-21,-1.5593399284584208e-20,2.9995384637505743e-23
675.8793969849246,14.0,6.065348468037497,5.466085492014136,0.0,-0.15370603568937763,0.00022741636507201597,0.0030167386337193254,-0.10498796923050885,0.00015979878710023352,0.02813248538690916,-0.09892901543751483,0.00018799433950974256,0.0,-2.462642188862909e-20,3.643611863075977e-23,4.833348149830187e-22,-1.6820927115223223e-20,2.5602588283353474e-23,4.5073210743252305e-21,-1.5850175695861152e-20,3.012001380867725e-23
684.4221105527638,14.0,6.069389741525508,5.499443246653195,0.0,-0.15564878855682704,0.00022741636507201603,0.0032011665842139178,-0.10635423863015789,0.00016006993860249625,0.028649170603468138,-0.10053825492132998,0.00018875402114122485,0.0,-2.4937685213615486e-20,3.6436118630759776e-23,5.128834302769132e-22,-1.7039827606009912e-20,2.5646031543473408e-23,4.5901031724356326e-21,-1.610800428580904e-20,3.0241728224601246e-23
692.964824120603,14.0,6.073572007856526,5.53276882737603,0.0,-0.15759154142427642,0.00022741636507201603,0.003391770472660839,-0.10772284846228244,0.00016034669447464623,0.02916007558811224,-0.10215390777776313,0.00018949588607548368,0.0,-2.5248948538601876e-20,3.6436118630759776e-23,5.434215399188332e-22,-1.7259103075419175e-20,2.569037272264151e-23,4.671959175294724e-21,-1.6366860411332293e-20,3.036058809092659e-23
701.5075376884422,14.0,6.077895236532774,5.566053989370326,0.0,-0.1595342942917258,0.00022741636507201603,0.0035885228982029805,-0.10909384585120248,0.00016062887808833586,0.029665159514395748,-0.1037758234174547,0.00019022031234554613,0.0,-2.5560211863588266e-20,3.6436118630759776e-23,5.749447538074775e-22,-1.7478761073599443e-20,2.5735583521876627e-23,4.752882541784765e-21,-1.6626719945355592e-20,3.0476653975221576e-23
710.0502512562814,14.0,6.08235927005793,5.599290897494132,0.0,-0.16147704715917519,0.000227416365072016,0.003791389918340162,-0.11046727639975205,0.00016091630995966277,0.030164391931982736,-0.10540385448550313,0.00019092767896022425,0.0,-2.5871475188574656e-20,3.6436118630759776e-23,6.074476337547776e-22,-1.7698808906930237e-20,2.5781635184687315e-23,4.8328683932240856e-21,-1.688755927902092e-20,3.058998660139247e-23
718.5929648241206,14.0,6.086963829303839,5.632472110957676,0.0,-0.16341980002662457,0.000227416365072016,0.00400033134546483,-0.11184318416726316,0.00016120880830092918,0.030657751983359155,-0.1070378568648216,0.00019161836476075506,0.0,-2.6182738513561046e-20,3.6436118630759776e-23,6.409237409961531e-22,-1.7919253634494776e-20,2.5828498585473395e-23,4.911913387870519e-21,-1.7149355322225366e-20,3.0700646666497075e-23
727.1356783919598,14.0,6.091708518886977,5.665590568349134,0.0,-0.16536255289407395,0.000227416365072016,0.0042153010454684635,-0.11322161165213586,0.00016150618954266247,0.031145227664384684,-0.1086776896702833,0.0001922927474056595,0.0,-2.6494001838547436e-20,3.6436118630759776e-23,6.753656840325343e-22,-1.814010206528742e-20,2.5876144313162894e-23,4.9900156024487534e-21,-1.7412085502683104e-20,3.0808694678101175e-23
735.678391959799,14.0,6.096592832531241,5.698639573023064,0.0,-0.16730530576152333,0.000227416365072016,0.004436247237051949,-0.1146025997787417,0.00016180826882611295,0.03162681512733745,-0.11032321523470302,0.00019295120247299214,0.0,-2.6805265163533825e-20,3.6436118630759776e-23,7.1076516658516915e-22,-1.836136075611535e-20,2.5924542750118875e-23,5.067174420485779e-21,-1.76757277636794e-20,3.09141908104431e-23
744.2211055276382,14.0,6.101616158396201,5.731612778865998,0.0,-0.16924805862897271,0.000227416365072016,0.004663112790499579,-0.11598618788840938,0.0001621148604665961,0.03210251802498732,-0.11197429908761541,0.00019359410266987133,0.0,-2.711652848852021e-20,3.6436118630759776e-23,7.471130354644962e-22,-1.858303601015433e-20,2.597366414637506e-23,5.143390427219851e-21,-1.794026056067049e-20,3.101719477778648e-23
752.7638190954774,14.0,6.106777784352388,5.764504176449973,0.0,-0.1711908114964221,0.000227416365072016,0.004895835524796165,-0.11737241373424606,0.00016242577838818025,0.03257234689414807,-0.11363080992772424,0.00019422181713987043,0.0,-2.74277918135066e-20,3.6436118630759776e-23,7.843993281735543e-22,-1.8805133876118972e-20,2.6023478689280456e-23,5.218665310834651e-21,-1.82056628568695e-20,3.1117765723452107e-23
761.3065326633166,14.0,6.112076903187427,5.797308079581556,0.0,-0.17313356436387148,0.000227416365072016,0.005134348502080227,-0.11876131347955152,0.00016274083653032817,0.03303631857710096,-0.11529261958982198,0.00019483471085952254,0.0,-2.773905513849299e-20,3.6436118630759776e-23,8.226133200845839e-22,-1.9027660148008667e-20,2.607395656865054e-23,5.293001769761128e-21,-1.8471914117946342e-20,3.121596212312731e-23
769.8492462311558,14.0,6.117512617728905,5.830019112251064,0.0,-0.17507631723132086,0.000227416365072016,0.005378580318532907,-0.12015292169958916,0.00016305984922719512,0.033494455679247824,-0.11695960300690526,0.00019543314411582546,0.0,-2.805031846347938e-20,3.6436118630759776e-23,8.6174357104457e-22,-1.925062036539133e-20,2.6125068037537496e-23,5.366403425783946e-21,-1.8738994305957974e-20,3.1311841701153014e-23
778.391959798995,14.0,6.123083945871755,5.862632195984262,0.0,-0.17701907009877024,0.000227416365072016,0.005628455390902672,-0.12154727138648291,0.00016338263156035978,0.03394678606133668,-0.11863163816814591,0.0001960174720572436,0.0,-2.836158178846577e-20,3.6436118630759776e-23,9.017779712815597e-22,-1.947401981418797e-20,2.6176783468743938e-23,5.438874742687051e-21,-1.9006883872614593e-20,3.140546135858636e-23
786.9346733668342,14.0,6.128789825499733,5.895142537596672,0.0,-0.17896182296621962,0.000227416365072016,0.00588389423795989,-0.12294439395701699,0.0001637089996858263,0.034393342364604826,-0.12030860607331535,0.00019658804431127785,0.0,-2.867284511345216e-20,3.6436118630759776e-23,9.427037864986571e-22,-1.969786352792234e-20,2.622907340721442e-23,5.5104209501732155e-21,-1.9275563751977634e-20,3.14968771119286e-23
795.4773869346734,14.0,6.134629119292136,5.927545617348794,0.0,-0.180904575833669,0.000227416365072016,0.006144813756263022,-0.12434431926312246,0.0001640387711361826,0.03483416156719917,-0.12199039068420355,0.0001971452046622182,0.0,-2.898410843843855e-20,3.6436118630759776e-23,9.845077020566384e-22,-1.992215628940109e-20,2.628190861844654e-23,5.581047972794733e-21,-1.9545015352676218e-20,3.158614404149538e-23
804.0201005025125,14.0,6.140600619408421,5.959837177499007,0.0,-0.18284732870111836,0.00022741636507201597,0.006411127489699938,-0.12574707560484208,0.00016437176509883665,0.03526928457025964,-0.12367687887352087,0.00019768929078320204,0.0,-2.929537176342494e-20,3.643611863075977e-23,1.0271758661592315e-21,-2.0146902632790938e-20,2.6335260133069276e-23,5.650762363636673e-21,-1.9815220549720338e-20,3.1673316248487783e-23
812.5628140703517,14.0,6.146703052044674,5.99201321124956,0.0,-0.18479008156856774,0.00022741636507201597,0.006682745892343814,-0.12715268974557334,0.00016470780267127718,0.03569875581208687,-0.12536796037172385,0.00019822063401718203,0.0,-2.960663508841133e-20,3.643611863075977e-23,1.0706939319672737e-21,-2.03721068460609e-20,2.6389099287740307e-23,5.719571242499727e-21,-2.008616167598139e-20,3.1758446819899456e-23
821.1055276381909,14.0,6.152935081857143,6.024069952079941,0.0,-0.18673283443601713,0.00022741636507201597,0.006959576584233201,-0.12856118692939725,0.00016504670709432351,0.03612262290885706,-0.1270635277121607,0.00019873955920185151,0.0,-2.991789841339772e-20,3.643611863075977e-23,1.1150470985791968e-21,-2.0597772973758646e-20,2.6443397762516715e-23,5.787482238336389e-21,-2.0357821513403535e-20,3.184158780046662e-23
829.6482412060301,14.0,6.159295316249101,6.056003863460976,0.0,-0.1886755873034665,0.00022741636507201597,0.0072415245997508974,-0.1299725909003094,0.00016538830396433678,0.036540936320395095,-0.12876347617489273,0.0001992463845339932,0.0,-3.022916173838411e-20,3.643611863075977e-23,1.160220150825709e-21,-2.0823904820091673e-20,2.6498127614854997e-23,5.854503435701896e-21,-2.063018328400288e-20,3.1922790170934284e-23
